
TABLE,VEDA_TBL_CP_ZONE_202608230854.csv
"FAB_NAME","PART6","LOTID","TEST_TYPE","WAFERNO","Y_COORD","STR_3C","STR_4C","STR_8P","STR_9S","STR_5W","STR_9W","TIMESTAMP","STR_5S"
FAB12,TMUW83,P9XP47.00,CP3,3,63,"                                          03030303030303030303030303030303030303030303020202020202020202020203030303030303030303030303030303030303030303                                            ","                                          04040404040404040404040403030303030303030303030303030303030303030303030303030303030303040404040404040404040404                                            ","                                          05050505050505050505050505050505050505050505050505050505040404040404040404040404040404040404040404040404040404                                            ","                                          02020202020202020202020202020202020202020202070707070707060606060602020202020202020202020202020202020202020202                                            ","                                          00000000000000000000000000020202020202020202020202020202020202020202020202020202020200000000000000000000000000                                            ","                                          07070707070707070707070707070707020202020202020202020202020202020202020202020206060606060606060606060606060606                                            ",2026-05-08 16:11:32.000,"                                          02020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202                                            "
FAB12,TMUW83,P9XP47.00,CP3,3,62,"                                      0303030303030303030303030303030303030202020202020202020202020202020202020202020202030303030303030303030303030303030303                                        ","                                      0404040404040404040404030303030303030303030303030303030303030303030303030303030303030303030303030404040404040404040404                                        ","                                      0505050505050505050505050505050505050505050505050505050505050404040404040404040404040404040404040404040404040404040404                                        ","                                      0202020202020202020202020202020202020707070707070707070707070606060606060606060606020202020202020202020202020202020202                                        ","                                      0000000000000000000000000000020202020202020202020202020202020202020202020202020202020202020000000000000000000000000000                                        ","                                      0707070707070707070707070707070707070702020202020202020202020202020202020202020206060606060606060606060606060606060606                                        ",2026-05-08 16:11:32.000,"                                      0202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202                                        "
FAB12,TMUW83,P9XP47.00,CP3,3,61,"                                    0303030303030303030303030303030202020202020202020202020202020202020202020202020202020202020203030303030303030303030303030303                                    ","                                    0404040404040404040303030303030303030303030303030303030303030303030303030303030303030303030303030303030304040404040404040404                                    ","                                    0505050505050505050505050505050505050505050505050505050505050504040404040404040404040404040404040404040404040404040404040404                                    ","                                    0202020202020202020202020202020707070707070707070707070707070706060606060606060606060606060602020202020202020202020202020202                                    ","                                    0000000000000000000000000000000202020202020202020202020202020202020202020202020202020202020200000000000000000000000000000000                                    ","                                    0707070707070707070707070707070707070707020202020202020202020202020202020202020202060606060606060606060606060606060606060606                                    ",2026-05-08 16:11:32.000,"                                    0202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202                                    "
FAB12,TMUW83,P9XP47.00,CP3,3,60,"                                030303030303030303030303030302020202020202020202020202020202020202020202020202020202020202020202020202030303030303030303030303030303                                ","                                040404040404040404030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030304040404040404040404                                ","                                050505050505050505050505050505050505050505050505050505050505050505040404040404040404040404040404040404040404040404040404040404040404                                ","                                020202020202020202020202020207070707070707070707070707070707070707060606060606060606060606060606060606020202020202020202020202020202                                ","                                000000000000000000000000000000000002020202020202020202020202020202020202020202020202020202020202000000000000000000000000000000000000                                ","                                070707070707070707070707070707070707070707070202020202020202020202020202020202020202020606060606060606060606060606060606060606060606                                ",2026-05-08 16:11:32.000,"                                020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202                                "
FAB12,TMUW83,P9XP47.00,CP3,3,69,"                                                                                        03030303030303030303                                                                                        ","                                                                                        04040404040404040404                                                                                        ","                                                                                        05050505050404040404                                                                                        ","                                                                                        02020202020202020202                                                                                        ","                                                                                        02020202020202020200                                                                                        ","                                                                                        02020202020202020202                                                                                        ",2026-05-08 16:11:31.000,"                                                                                        02020202020202020202                                                                                        "
FAB12,TMUW83,P9XP47.00,CP3,3,68,"                                                                          030303030303030303030303030303030303030303030303                                                                          ","                                                                          040404040404040404040404040404040404040404040404                                                                          ","                                                                          050505050505050505050505040404040404040404040404                                                                          ","                                                                          020202020202020202020202020202020202020202020202                                                                          ","                                                                          000000020202020202020202020202020202020200000000                                                                          ","                                                                          020202020202020202020202020202020202020202020202                                                                          ",2026-05-08 16:11:32.000,"                                                                          020202020202020202020202020202020202020202020202                                                                          "
FAB12,TMUW83,P9XP47.00,CP3,3,67,"                                                                03030303030303030303030303030303030303030303030303030303030303030303                                                                ","                                                                04040404040404040404040404040404040404040404040404040404040404040404                                                                ","                                                                05050505050505050505050505050505050404040404040404040404040404040404                                                                ","                                                                02020202020202020202020202020202020202020202020202020202020202020202                                                                ","                                                                00000000000002020202020202020202020202020202020202020200000000000000                                                                ","                                                                07070702020202020202020202020202020202020202020202020202020206060606                                                                ",2026-05-08 16:11:32.000,"                                                                02020202020202020202020202020202020202020202020202020202020202020202                                                                "
FAB12,TMUW83,P9XP47.00,CP3,3,66,"                                                          03030303030303030303030303030303030303030303030303030303030303030303030303030303                                                          ","                                                          04040404040404040404040404040404040404040404040404040404040404040404040404040404                                                          ","                                                          05050505050505050505050505050505050505050404040404040404040404040404040404040404                                                          ","                                                          02020202020202020202020202020202020202020202020202020202020202020202020202020202                                                          ","                                                          00000000000000000202020202020202020202020202020202020202020202000000000000000000                                                          ","                                                          07070707070707020202020202020202020202020202020202020202020202020606060606060606                                                          ",2026-05-08 16:11:32.000,"                                                          02020202020202020202020202020202020202020202020202020202020202020202020202020202                                                          "
FAB12,TMUW83,P9XP47.00,CP3,3,65,"                                                    03030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303                                                    ","                                                    04040404040404040404040404040404040404040404040404040404040404040404040404040404040404040404                                                    ","                                                    05050505050505050505050505050505050505050505050404040404040404040404040404040404040404040404                                                    ","                                                    02020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202                                                    ","                                                    00000000000000000000020202020202020202020202020202020202020202020202020000000000000000000000                                                    ","                                                    07070707070707070707020202020202020202020202020202020202020202020202020606060606060606060606                                                    ",2026-05-08 16:11:32.000,"                                                    02020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202                                                    "
FAB12,TMUW83,P9XP47.00,CP3,3,64,"                                                0303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303                                                ","                                                0404040404040404040404040404030303030303030303030303030303030303030303040404040404040404040404040404                                                ","                                                0505050505050505050505050505050505050505050505050504040404040404040404040404040404040404040404040404                                                ","                                                0202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202                                                ","                                                0000000000000000000000020202020202020202020202020202020202020202020202020202000000000000000000000000                                                ","                                                0707070707070707070707070702020202020202020202020202020202020202020202020606060606060606060606060606                                                ",2026-05-08 16:11:32.000,"                                                0202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202                                                "
